,titulo,preco,quartos,area
162,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",9000.0,0.0,225.0
163,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",4950.0,0.0,117.0
164,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",4950.0,0.0,121.0
166,"Lote para locação, JARDIM GISELA, TOLEDO - PR ",4000.0,0.0,2000.0
167,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",9000.0,0.0,650.0
168,"Apartamento para locação, JARDIM PANCERA, TOLEDO - PR ",1500.0,2.0,72.19
169,"Barracão para locação, JARDIM PANCERA, TOLEDO - PR ",7500.0,0.0,360.0
170,"Sobrado para locação, VILA INDUSTRIAL, TOLEDO - PR ",11000.0,0.0,800.0
171,"Apartamento para Locação, CENTRO, TOLEDO - PR ",2500.0,2.0,150.0
173,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",1800.0,0.0,53.0
174,"Sala Comercial PARA LOCAÇÃO, VILA INDUSTRIAL, TOLEDO - PR ",2500.0,0.0,50.0
175,"Barracão para locação, VILA INDUSTRIAL, TOLEDO - PR ",6500.0,0.0,450.0
176,"Apartamento para locação, JARDIM LA SALLE, TOLEDO - PR ",3000.0,2.0,91.97
177,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",4000.0,0.0,216.0
178,"Sala Comercial à venda, CENTRO, TOLEDO - PR ",2500.0,0.0,75.0
179,"Sala Comercial para locação, JARDIM PANORAMA II, TOLEDO - PR ",950.0,0.0,40.0
180,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",2800.0,0.0,110.0
181,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",5000.0,0.0,180.0
182,"Sala Comercial para locação, VILA INDUSTRIAL, TOLEDO - PR ",3100.0,0.0,87.0
183,"Container para locação, JARDIM LA SALLE, TOLEDO - PR ",9500.0,0.0,580.0
184,"Sobrado para locação, JARDIM GISELA, TOLEDO - PR ",3600.0,0.0,139.9
185,"Sala Comercial para Locação, CENTRO, TOLEDO - PR ",3500.0,0.0,180.2
186,"Sala Comercial para Locação, CENTRO, TOLEDO - PR ",1700.0,0.0,72.96
187,"Sala Comercial para locação, CENTRO, TOLEDO - PR ",2000.0,0.0,102.74
188,"Sala Comercial para Locação, CENTRO, TOLEDO - PR ",1200.0,0.0,36.37
189,"Sala Comercial para Locação, CENTRO, TOLEDO - PR ",1400.0,0.0,65.21
191,"Barracão para locação, CENTRO, TOLEDO - PR ",23000.0,0.0,992.0
192,"Barracão para locação, ZONA RURAL, Sentido Sao Pedro do Iguaçu, TOLEDO - PR ",20000.0,0.0,1300.0
